Key: 006ONDhLV6, Value: value8334, Extra: extra8334, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 25m51s, FileName: data.txt, Offset: 833400, Size: 100
Key: 0BFGRmpQxk, Value: value8823, Extra: extra8823, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 45m16s, FileName: data.txt, Offset: 882300, Size: 100
Key: 0C7tssZ0bW, Value: value4739, Extra: extra4739, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 14m47s, FileName: data.txt, Offset: 473900, Size: 100
Key: 0CCuWD6oNy, Value: value3713, Extra: extra3713, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 56m45s, FileName: data.txt, Offset: 371300, Size: 100
Key: 0DYqRFiYr3, Value: value2845, Extra: extra2845, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 57m39s, FileName: data.txt, Offset: 284500, Size: 100
Key: 0Dawz8T1iR, Value: value1550, Extra: extra1550, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 12m46s, FileName: data.txt, Offset: 155000, Size: 100
Key: 0E1AksIspF, Value: value6312, Extra: extra6312, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 46m9s, FileName: data.txt, Offset: 631200, Size: 100
Key: 0E2UZUZDtV, Value: value4579, Extra: extra4579, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 33m48s, FileName: data.txt, Offset: 457900, Size: 100
Key: 0Ee4r6GI5m, Value: value1515, Extra: extra1515, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 20m49s, FileName: data.txt, Offset: 151500, Size: 100
Key: 0EgmcTyoEp, Value: value2328, Extra: extra2328, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 29m50s, FileName: data.txt, Offset: 232800, Size: 100
Key: 0FaK9qVqJ9, Value: value6241, Extra: extra6241, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 57m29s, FileName: data.txt, Offset: 624100, Size: 100
Key: 0GGzPbSqYR, Value: value7301, Extra: extra7301, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 57m5s, FileName: data.txt, Offset: 730100, Size: 100
Key: 0GIJDYlHwY, Value: value6474, Extra: extra6474, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 44m1s, FileName: data.txt, Offset: 647400, Size: 100
Key: 0GJqrJxVGq, Value: value8254, Extra: extra8254, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 10m24s, FileName: data.txt, Offset: 825400, Size: 100
Key: 0GgOEXZ6jo, Value: value5142, Extra: extra5142, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 20m6s, FileName: data.txt, Offset: 514200, Size: 100
Key: 0GhoWpglCd, Value: value3272, Extra: extra3272, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 35m22s, FileName: data.txt, Offset: 327200, Size: 100
Key: 0HAKzxVbdH, Value: value3243, Extra: extra3243, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 45m22s, FileName: data.txt, Offset: 324300, Size: 100
Key: 0HfgN0ttIT, Value: value6891, Extra: extra6891, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 14m31s, FileName: data.txt, Offset: 689100, Size: 100
Key: 0HtYwppAOB, Value: value7591, Extra: extra7591, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 35m38s, FileName: data.txt, Offset: 759100, Size: 100
Key: 0J4Jcv3Rvm, Value: value1852, Extra: extra1852, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 49m13s, FileName: data.txt, Offset: 185200, Size: 100
Key: 0J9NwJAgHN, Value: value902, Extra: extra902, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 53m21s, FileName: data.txt, Offset: 90200, Size: 100
Key: 0J9pZiCbq6, Value: value6074, Extra: extra6074, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 15m19s, FileName: data.txt, Offset: 607400, Size: 100
Key: 0JzBjUKBBm, Value: value5835, Extra: extra5835, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 45m36s, FileName: data.txt, Offset: 583500, Size: 100
Key: 0K2uBvvtiA, Value: value7948, Extra: extra7948, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 11m14s, FileName: data.txt, Offset: 794800, Size: 100
Key: 0KiyASJHer, Value: value823, Extra: extra823, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 18m34s, FileName: data.txt, Offset: 82300, Size: 100
Key: 0KzgNBQKja, Value: value5196, Extra: extra5196, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 45m39s, FileName: data.txt, Offset: 519600, Size: 100
Key: 0LDXQ93q9J, Value: value8599, Extra: extra8599, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 45m26s, FileName: data.txt, Offset: 859900, Size: 100
Key: 0LMw3suPSk, Value: value9477, Extra: extra9477, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 36m23s, FileName: data.txt, Offset: 947700, Size: 100
Key: 0LPN9uEp9Z, Value: value959, Extra: extra959, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 35m55s, FileName: data.txt, Offset: 95900, Size: 100
Key: 0M53VCCINn, Value: value5475, Extra: extra5475, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 53m24s, FileName: data.txt, Offset: 547500, Size: 100
Key: 0M8uJMkWkZ, Value: value8532, Extra: extra8532, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 10m50s, FileName: data.txt, Offset: 853200, Size: 100
Key: 0MYEisACXH, Value: value6279, Extra: extra6279, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 25m29s, FileName: data.txt, Offset: 627900, Size: 100
Key: 0MwxhHMtNS, Value: value928, Extra: extra928, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 53m16s, FileName: data.txt, Offset: 92800, Size: 100
Key: 0N0T7zxseS, Value: value190, Extra: extra190, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 36m57s, FileName: data.txt, Offset: 19000, Size: 100
Key: 0NBsYfkm2e, Value: value7127, Extra: extra7127, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 56m25s, FileName: data.txt, Offset: 712700, Size: 100
Key: 0NpJdI9m9m, Value: value7514, Extra: extra7514, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 45m19s, FileName: data.txt, Offset: 751400, Size: 100
Key: 0OwevoAJA9, Value: value4230, Extra: extra4230, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 17m58s, FileName: data.txt, Offset: 423000, Size: 100
Key: 0OzRc8uDgb, Value: value6741, Extra: extra6741, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 2m16s, FileName: data.txt, Offset: 674100, Size: 100
Key: 0PFfiaJpHt, Value: value4343, Extra: extra4343, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 17m5s, FileName: data.txt, Offset: 434300, Size: 100
Key: 0PyDMel0Mz, Value: value3630, Extra: extra3630, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 21m0s, FileName: data.txt, Offset: 363000, Size: 100
Key: 0PyZTgnQIX, Value: value8711, Extra: extra8711, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 35m24s, FileName: data.txt, Offset: 871100, Size: 100
Key: 0QIXWlmxmw, Value: value4441, Extra: extra4441, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 30m24s, FileName: data.txt, Offset: 444100, Size: 100
Key: 0RVqQpuWFr, Value: value4143, Extra: extra4143, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 29m45s, FileName: data.txt, Offset: 414300, Size: 100
Key: 0S6oeW4xsD, Value: value1910, Extra: extra1910, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 46m1s, FileName: data.txt, Offset: 191000, Size: 100
Key: 0SXO3QdWLG, Value: value1804, Extra: extra1804, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 46m52s, FileName: data.txt, Offset: 180400, Size: 100
Key: 0SobDucCS3, Value: value8020, Extra: extra8020, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 47m54s, FileName: data.txt, Offset: 802000, Size: 100
Key: 0StX80kESM, Value: value720, Extra: extra720, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 22m10s, FileName: data.txt, Offset: 72000, Size: 100
Key: 0TBWHk7yNJ, Value: value7294, Extra: extra7294, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 2m36s, FileName: data.txt, Offset: 729400, Size: 100
Key: 0TaPBfYxUO, Value: value9700, Extra: extra9700, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 32m9s, FileName: data.txt, Offset: 970000, Size: 100
Key: 0U1nsiVsbl, Value: value2341, Extra: extra2341, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 14m21s, FileName: data.txt, Offset: 234100, Size: 100
Key: 0UFrHhRmt0, Value: value2140, Extra: extra2140, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 34m24s, FileName: data.txt, Offset: 214000, Size: 100
Key: 0UOEzFYgeM, Value: value1947, Extra: extra1947, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 26m53s, FileName: data.txt, Offset: 194700, Size: 100
Key: 0UukKBdPwz, Value: value6763, Extra: extra6763, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 41m47s, FileName: data.txt, Offset: 676300, Size: 100
Key: 0VLRkHbcMu, Value: value8735, Extra: extra8735, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 41m33s, FileName: data.txt, Offset: 873500, Size: 100
Key: 0VmVqk5Iok, Value: value2280, Extra: extra2280, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 48m0s, FileName: data.txt, Offset: 228000, Size: 100
Key: 0WXRMp2WY0, Value: value6662, Extra: extra6662, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 25m11s, FileName: data.txt, Offset: 666200, Size: 100
Key: 0Wa9cDIpza, Value: value9414, Extra: extra9414, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 51m34s, FileName: data.txt, Offset: 941400, Size: 100
Key: 0Wbp30KePT, Value: value2329, Extra: extra2329, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 39m40s, FileName: data.txt, Offset: 232900, Size: 100
Key: 0Wz7lfnQdi, Value: value8650, Extra: extra8650, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 30m35s, FileName: data.txt, Offset: 865000, Size: 100
Key: 0X9zGMRZ7Q, Value: value2819, Extra: extra2819, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 17m39s, FileName: data.txt, Offset: 281900, Size: 100
Key: 0XhZy9dV11, Value: value2806, Extra: extra2806, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 38m8s, FileName: data.txt, Offset: 280600, Size: 100
Key: 0Y242Xdfza, Value: value2436, Extra: extra2436, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 58m42s, FileName: data.txt, Offset: 243600, Size: 100
Key: 0YkqnqqqoI, Value: value5053, Extra: extra5053, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 31m39s, FileName: data.txt, Offset: 505300, Size: 100
Key: 0Ymxaiint0, Value: value1224, Extra: extra1224, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 4m29s, FileName: data.txt, Offset: 122400, Size: 100
Key: 0ZJWYsZn89, Value: value3065, Extra: extra3065, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 43m37s, FileName: data.txt, Offset: 306500, Size: 100
Key: 0ZOT3VTKlY, Value: value539, Extra: extra539, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 33m26s, FileName: data.txt, Offset: 53900, Size: 100
Key: 0Zt1eWPfO8, Value: value4085, Extra: extra4085, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 3m55s, FileName: data.txt, Offset: 408500, Size: 100
Key: 0b7UavUq24, Value: value4554, Extra: extra4554, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 40m4s, FileName: data.txt, Offset: 455400, Size: 100
Key: 0c1kj4YqJH, Value: value3122, Extra: extra3122, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 31m33s, FileName: data.txt, Offset: 312200, Size: 100
Key: 0c2ohJzANV, Value: value8852, Extra: extra8852, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 2m54s, FileName: data.txt, Offset: 885200, Size: 100
Key: 0chZWdUv8l, Value: value1296, Extra: extra1296, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 54m49s, FileName: data.txt, Offset: 129600, Size: 100
Key: 0cjU5aWDto, Value: value9704, Extra: extra9704, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 19m37s, FileName: data.txt, Offset: 970400, Size: 100
Key: 0d3TcADSMw, Value: value6944, Extra: extra6944, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 52m59s, FileName: data.txt, Offset: 694400, Size: 100
Key: 0dMkeTOq4K, Value: value570, Extra: extra570, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 52m37s, FileName: data.txt, Offset: 57000, Size: 100
Key: 0dYZqOCu5N, Value: value6396, Extra: extra6396, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 32m16s, FileName: data.txt, Offset: 639600, Size: 100
Key: 0eqgLK8Arh, Value: value3410, Extra: extra3410, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 1m59s, FileName: data.txt, Offset: 341000, Size: 100
Key: 0fAgwDnETd, Value: value7073, Extra: extra7073, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 26m29s, FileName: data.txt, Offset: 707300, Size: 100
Key: 0fBW8LIZIh, Value: value563, Extra: extra563, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 19m47s, FileName: data.txt, Offset: 56300, Size: 100
Key: 0fomy21i2K, Value: value9924, Extra: extra9924, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 28m36s, FileName: data.txt, Offset: 992400, Size: 100
Key: 0gP4upYv85, Value: value3972, Extra: extra3972, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 30m33s, FileName: data.txt, Offset: 397200, Size: 100
Key: 0hEDcnj9gX, Value: value3186, Extra: extra3186, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 1m2s, FileName: data.txt, Offset: 318600, Size: 100
Key: 0hpbReWh97, Value: value2626, Extra: extra2626, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 10m3s, FileName: data.txt, Offset: 262600, Size: 100
Key: 0iiFeWkNwY, Value: value6246, Extra: extra6246, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 21m57s, FileName: data.txt, Offset: 624600, Size: 100
Key: 0imKlNOm2N, Value: value433, Extra: extra433, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 58m45s, FileName: data.txt, Offset: 43300, Size: 100
Key: 0ioib1pfQW, Value: value5615, Extra: extra5615, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 7m50s, FileName: data.txt, Offset: 561500, Size: 100
Key: 0iqX3IRYei, Value: value8202, Extra: extra8202, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 26m18s, FileName: data.txt, Offset: 820200, Size: 100
Key: 0jEFyyHfIa, Value: value971, Extra: extra971, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 55m43s, FileName: data.txt, Offset: 97100, Size: 100
Key: 0kSRbYNZ8W, Value: value3287, Extra: extra3287, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 52m34s, FileName: data.txt, Offset: 328700, Size: 100
Key: 0kmpmw80qw, Value: value2640, Extra: extra2640, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 23m9s, FileName: data.txt, Offset: 264000, Size: 100
Key: 0l2eXiNe5L, Value: value5659, Extra: extra5659, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 58m48s, FileName: data.txt, Offset: 565900, Size: 100
Key: 0l3FKSxJj3, Value: value542, Extra: extra542, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 44m4s, FileName: data.txt, Offset: 54200, Size: 100
Key: 0l75j1bwPY, Value: value9695, Extra: extra9695, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 37m39s, FileName: data.txt, Offset: 969500, Size: 100
Key: 0lMl3EY1j9, Value: value7846, Extra: extra7846, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 13m1s, FileName: data.txt, Offset: 784600, Size: 100
Key: 0lVYRj2Yio, Value: value5770, Extra: extra5770, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 57m36s, FileName: data.txt, Offset: 577000, Size: 100
Key: 0lkNkhvXkz, Value: value1048, Extra: extra1048, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 21m42s, FileName: data.txt, Offset: 104800, Size: 100
Key: 0mY8LQ5k9N, Value: value4159, Extra: extra4159, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 46m11s, FileName: data.txt, Offset: 415900, Size: 100
Key: 0mr8QRtvVx, Value: value2787, Extra: extra2787, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 46m17s, FileName: data.txt, Offset: 278700, Size: 100
Key: 0n0Owugwdu, Value: value9696, Extra: extra9696, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 13m0s, FileName: data.txt, Offset: 969600, Size: 100
Key: 0n2OtnQ5Hg, Value: value4782, Extra: extra4782, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 42m37s, FileName: data.txt, Offset: 478200, Size: 100
Key: 0nKOppFrzK, Value: value729, Extra: extra729, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 23m44s, FileName: data.txt, Offset: 72900, Size: 100
Key: 0njZxAEaWz, Value: value5803, Extra: extra5803, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 56m3s, FileName: data.txt, Offset: 580300, Size: 100
Key: 0nqUivN70s, Value: value2759, Extra: extra2759, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 24m55s, FileName: data.txt, Offset: 275900, Size: 100
Key: 0oAHmvfmaR, Value: value5483, Extra: extra5483, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 44m49s, FileName: data.txt, Offset: 548300, Size: 100
Key: 0oBdOoeELp, Value: value6457, Extra: extra6457, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 35s, FileName: data.txt, Offset: 645700, Size: 100
Key: 0oYa4rmecx, Value: value2225, Extra: extra2225, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 49m45s, FileName: data.txt, Offset: 222500, Size: 100
Key: 0oluOLqtUz, Value: value2604, Extra: extra2604, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 50m46s, FileName: data.txt, Offset: 260400, Size: 100
Key: 0ookqhaejR, Value: value4885, Extra: extra4885, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 56m24s, FileName: data.txt, Offset: 488500, Size: 100
Key: 0p27yUXaXT, Value: value6772, Extra: extra6772, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 5m2s, FileName: data.txt, Offset: 677200, Size: 100
Key: 0p8klnfjzZ, Value: value9959, Extra: extra9959, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 43m58s, FileName: data.txt, Offset: 995900, Size: 100
Key: 0qBUDrecth, Value: value7240, Extra: extra7240, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 2m0s, FileName: data.txt, Offset: 724000, Size: 100
Key: 0qGacq93yf, Value: value7544, Extra: extra7544, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 40m18s, FileName: data.txt, Offset: 754400, Size: 100
Key: 0qlGk7ou6h, Value: value6367, Extra: extra6367, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 18m35s, FileName: data.txt, Offset: 636700, Size: 100
Key: 0qxmnLNoYA, Value: value252, Extra: extra252, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 14m47s, FileName: data.txt, Offset: 25200, Size: 100
Key: 0rc7HtWRUw, Value: value3481, Extra: extra3481, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 9m30s, FileName: data.txt, Offset: 348100, Size: 100
Key: 0skGYv9fbX, Value: value4320, Extra: extra4320, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 49m33s, FileName: data.txt, Offset: 432000, Size: 100
Key: 0tDM9iyXIl, Value: value920, Extra: extra920, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 40m42s, FileName: data.txt, Offset: 92000, Size: 100
Key: 0teRZk9Ev3, Value: value9114, Extra: extra9114, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 14m29s, FileName: data.txt, Offset: 911400, Size: 100
Key: 0uM6bWQOPc, Value: value231, Extra: extra231, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 8m48s, FileName: data.txt, Offset: 23100, Size: 100
Key: 0uNJ0BE5f3, Value: value2371, Extra: extra2371, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 6m19s, FileName: data.txt, Offset: 237100, Size: 100
Key: 0v7QsUAPfm, Value: value8658, Extra: extra8658, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 47m21s, FileName: data.txt, Offset: 865800, Size: 100
Key: 0vtJFELkoP, Value: value1738, Extra: extra1738, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 47m5s, FileName: data.txt, Offset: 173800, Size: 100
Key: 0vuSCLyxYc, Value: value8356, Extra: extra8356, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 58m47s, FileName: data.txt, Offset: 835600, Size: 100
Key: 0w8oxHr1P1, Value: value7667, Extra: extra7667, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 38m26s, FileName: data.txt, Offset: 766700, Size: 100
Key: 0wBn5b5RGB, Value: value5840, Extra: extra5840, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 11m47s, FileName: data.txt, Offset: 584000, Size: 100
Key: 0wFQmkN2zE, Value: value4294, Extra: extra4294, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 21m53s, FileName: data.txt, Offset: 429400, Size: 100
Key: 0x7h8MJQyP, Value: value7996, Extra: extra7996, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 38m51s, FileName: data.txt, Offset: 799600, Size: 100
Key: 0x8n9YQqeb, Value: value913, Extra: extra913, KeySize: 6, ValueSize: 8, ExtraSize: 8, TTL: 40m17s, FileName: data.txt, Offset: 91300, Size: 100
Key: 0xLyhS65y9, Value: value8015, Extra: extra8015, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 30m57s, FileName: data.txt, Offset: 801500, Size: 100
Key: 0xQsXM5lfc, Value: value7531, Extra: extra7531, KeySize: 7, ValueSize: 9, ExtraSize: 9, TTL: 3m41s, FileName: data.txt, Offset: 753100, Size: 100
